Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3530003;Interior;Mira Estrela;73;1;;
3530102;Interior;Mirandópolis;602;11;;
3530201;Interior;Mirante do Paranapanema;146;5;;
3530300;Interior;Mirassol;2375;59;;
3530409;Interior;Mirassolândia;185;2;;
3530508;Interior;Mococa;1556;36;;
3530607;RMSP (exceto capital);Mogi das Cruzes;9755;466;;
3530706;Interior;Mogi Guaçu;3390;87;;
3530805;Interior;Mogi Mirim;2226;63;;
3530904;Interior;Mombuca;52;1;;
3531001;Interior;Monções;82;3;;
3531100;Interior;Mongaguá;819;22;;
3531209;Interior;Monte Alegre do Sul;71;1;;
3531308;Interior;Monte Alto;1176;40;;
3531407;Interior;Monte Aprazível;754;18;;
3531506;Interior;Monte Azul Paulista;240;2;;
3531605;Interior;Monte Castelo;114;4;;
3531704;Interior;Monteiro Lobato;80;2;;
3531803;Interior;Monte Mor;1664;33;;
3531902;Interior;Morro Agudo;1288;26;;
3532009;Interior;Morungaba;141;3;;
3532058;Interior;Motuca;68;3;;
3532108;Interior;Murutinga do Sul;69;4;;
3532157;Interior;Nantes;51;1;;
3532207;Interior;Narandiba;125;3;;
3532306;Interior;Natividade da Serra;34;1;;
3532405;Interior;Nazaré Paulista;297;5;;
3532504;Interior;Neves Paulista;281;7;;
3532603;Interior;Nhandeara;240;8;;
3532702;Interior;Nipoã;117;2;;
3532801;Interior;Nova Aliança;265;4;;
3532827;Interior;Nova Campina;87;4;;
3532843;Interior;Nova Canaã Paulista;79;2;;
3532868;Interior;Nova Castilho;21;2;;
3532900;Interior;Nova Europa;321;3;;
3533007;Interior;Nova Granada;1002;19;;
3533106;Interior;Nova Guataporanga;32;0;;
3533205;Interior;Nova Independência;96;1;;
3533254;Interior;Novais;198;8;;
3533304;Interior;Nova Luzitânia;98;2;;
3533403;Interior;Nova Odessa;1390;58;;
3533502;Interior;Novo Horizonte;1298;29;;
3533601;Interior;Nuporanga;127;2;;
3533700;Interior;Ocauçu;39;0;;
3533809;Interior;Óleo;6;0;;
3533908;Interior;Olímpia;2728;71;;
3534005;Interior;Onda Verde;249;4;;
3534104;Interior;Oriente;92;4;;
3534203;Interior;Orindiúva;312;5;;
3534302;Interior;Orlândia;1131;39;;
3534401;RMSP (exceto capital);Osasco;15678;862;;
3534500;Interior;Oscar Bressane;24;0;;
3534609;Interior;Osvaldo Cruz;337;11;;
3534708;Interior;Ourinhos;2276;45;;
3534757;Interior;Ouroeste;344;6;;
3534807;Interior;Ouro Verde;65;0;;
3534906;Interior;Pacaembu;378;9;;
3535002;Interior;Palestina;151;7;;
3535101;Interior;Palmares Paulista;404;15;;
3535200;Interior;Palmeira d'Oeste;246;6;;
3535309;Interior;Palmital;507;7;;
3535408;Interior;Panorama;133;6;;
3535507;Interior;Paraguaçu Paulista;724;16;;
3535606;Interior;Paraibuna;204;11;;
3535705;Interior;Paraíso;165;4;;
3535804;Interior;Paranapanema;222;3;;
3535903;Interior;Paranapuã;115;5;;
3536000;Interior;Parapuã;108;4;;
3536109;Interior;Pardinho;184;1;;
3536208;Interior;Pariquera-Açu;838;15;;
3536257;Interior;Parisi;114;6;;
3536307;Interior;Patrocínio Paulista;197;8;;
3536406;Interior;Paulicéia;70;2;;
3536505;Interior;Paulínia;5727;89;;
3536570;Interior;Paulistânia;11;0;;
3536604;Interior;Paulo de Faria;209;3;;
3536703;Interior;Pederneiras;898;18;;
3536802;Interior;Pedra Bela;103;1;;
3536901;Interior;Pedranópolis;50;2;;
3537008;Interior;Pedregulho;99;2;;
3537107;Interior;Pedreira;613;9;;
3537156;Interior;Pedrinhas Paulista;28;1;;
3537206;Interior;Pedro de Toledo;89;6;;
3537305;Interior;Penápolis;1522;37;;
3537404;Interior;Pereira Barreto;391;9;;
3537503;Interior;Pereiras;229;1;;
3537602;Interior;Peruíbe;1267;44;;
3537701;Interior;Piacatu;99;1;;
3537800;Interior;Piedade;1027;38;;
3537909;Interior;Pilar do Sul;321;7;;
3538006;Interior;Pindamonhangaba;2573;54;;
3538105;Interior;Pindorama;613;15;;
3538204;Interior;Pinhalzinho;153;2;;
3538303;Interior;Piquerobi;43;0;;
3538501;Interior;Piquete;172;3;;
3538600;Interior;Piracaia;524;6;;
3538709;Interior;Piracicaba;15609;375;;
3538808;Interior;Piraju;289;8;;
3538907;Interior;Pirajuí;669;10;;
3539004;Interior;Pirangi;394;16;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;660;7;;
3539202;Interior;Pirapozinho;984;22;;
3539301;Interior;Pirassununga;1846;35;;
3539400;Interior;Piratininga;355;10;;
3539509;Interior;Pitangueiras;1428;33;;
3539608;Interior;Planalto;206;3;;
3539707;Interior;Platina;64;0;;
3539806;RMSP (exceto capital);Poá;2264;118;;
